unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,AT11	6.4 u	: bu	: u	5.5 u	: u	: u	5.0 u	: u	4.9 u	5.9 u	5.9 u	5.8 u
PC,Y_GE15,F,AT12	4.9 	4.4 b	4.3 	4.5 	3.7 	4.5 	4.6 	5.1 	5.0 	4.9 	4.6 	4.2 
PC,Y_GE15,F,AT13	8.8 	8.7 b	6.8 	7.5 	7.3 	7.4 	7.8 	8.6 	9.0 	8.8 	9.6 	8.9 
PC,Y_GE15,F,AT21	5.8 	5.1 b	4.3 u	4.7 u	4.4 u	4.5 u	5.1 	5.6 	5.9 	5.8 	5.9 	4.8 
PC,Y_GE15,F,AT22	5.1 	4.6 b	3.9 	4.7 	4.7 	3.6 	4.3 	4.8 	4.9 	4.8 	5.1 	4.1 
PC,Y_GE15,F,AT31	4.1 	4.5 b	3.2 	4.4 	3.7 	3.5 	3.3 	4.3 	4.3 	4.0 	4.3 	3.7 
PC,Y_GE15,F,AT32	4.0 u	3.7 bu	3.1 u	3.7 u	3.7 u	3.2 u	2.9 u	2.8 u	3.3 u	3.4 u	2.9 u	2.8 u
PC,Y_GE15,F,AT33	3.7 u	3.7 b	3.0 u	3.4 u	3.0 u	2.8 u	3.1 u	3.4 	2.8 u	3.0 u	3.5 	3.9 
PC,Y_GE15,F,AT34	6.3 u	5.3 bu	4.9 u	5.7 u	4.7 u	5.0 u	4.6 u	3.4 u	: u	3.7 u	3.5 u	3.5 u
PC,Y_GE15,F,BE10	18.2 	16.9 	16.6 	15.7 	17.9 	15.4 b	16.7 	17.0 	16.1 	15.8 	16.0 	14.7 b
PC,Y_GE15,F,BE21	6.2 	5.6 	4.6 	6.1 	5.8 	5.5 b	4.8 	6.2 	6.2 	5.7 	5.9 	6.6 b
PC,Y_GE15,F,BE22	8.7 	7.5 	5.4 	5.4 	5.3 	5.2 b	5.3 	5.3 	5.2 	4.6 	5.2 	4.6 b
PC,Y_GE15,F,BE23	5.1 	5.4 	3.9 	4.3 	4.8 	3.9 b	4.5 	4.0 	4.2 	4.0 	4.2 	3.6 b
PC,Y_GE15,F,BE24	4.9 	3.5 	3.9 	4.6 	5.0 	3.8 b	4.2 	5.9 	4.8 	4.9 	4.4 	5.1 b
PC,Y_GE15,F,BE25	4.8 	3.6 	3.3 	4.1 	4.5 	3.1 b	3.8 	3.6 	4.1 	3.4 	3.5 	3.5 b
PC,Y_GE15,F,BE31	8.7 	7.9 	6.8 	7.1 	9.0 	7.2 b	7.8 	7.8 	9.2 	7.8 	8.2 	6.6 b
PC,Y_GE15,F,BE32	16.6 	15.8 	13.6 	14.4 	15.1 	12.9 b	12.4 	12.9 	12.3 	12.1 	11.3 	10.9 b
PC,Y_GE15,F,BE33	13.4 	12.4 	11.6 	12.7 	11.5 	9.6 b	9.6 	12.1 	11.3 	12.5 	10.6 	9.5 b
PC,Y_GE15,F,BE34	9.4 u	8.1 u	9.3 u	7.8 u	8.0 u	7.6 bu	7.4 u	8.3 u	9.6 	10.3 	8.9 	6.4 bu
PC,Y_GE15,F,BE35	11.5 	9.8 	10.3 	9.7 	10.8 	7.9 b	7.6 	10.8 	9.2 	10.5 	9.5 	6.4 b
PC,Y_GE15,F,BG31	11.5 	9.3 	6.5 b	7.7 	9.8 b	11.3 b	11.1 	11.6 	11.5 	10.5 	10.5 	10.4 
PC,Y_GE15,F,BG32	14.2 	10.1 	8.4 b	8.2 	10.2 b	11.5 b	11.5 	13.9 	11.7 	9.8 	8.4 	6.0 
PC,Y_GE15,F,BG33	12.5 	12.9 	10.2 b	10.2 	14.1 b	14.5 b	17.2 	16.5 	12.2 	10.9 	10.3 	10.7 
PC,Y_GE15,F,BG34	8.7 	6.8 	6.0 b	7.1 	10.4 b	10.7 b	11.2 	13.1 	12.2 	10.2 	7.8 	6.8 
PC,Y_GE15,F,BG41	6.1 	4.1 	3.0 b	3.9 	6.7 b	6.2 b	7.4 	8.6 	7.6 	5.4 	4.5 	3.2 
PC,Y_GE15,F,BG42	8.5 	6.3 	5.2 b	6.8 	10.7 b	11.9 b	11.7 	12.2 	11.4 	8.9 	6.0 	4.7 
PC,Y_GE15,F,CH01	6.1 	5.8 	4.9 	5.9 	7.8 b	7.9 	6.9 	7.5 	7.7 	7.5 	7.5 	8.2 
PC,Y_GE15,F,CH02	4.5 	5.3 	3.9 	4.2 	4.8 b	4.3 	4.4 	4.3 	4.8 	4.3 	4.6 	4.9 
PC,Y_GE15,F,CH03	4.7 	3.8 	4.0 	5.0 	4.9 b	4.1 	4.2 	4.3 	4.1 	4.3 	5.3 	4.4 
PC,Y_GE15,F,CH04	4.3 	4.1 	3.5 	4.0 	5.0 b	4.0 	4.3 	4.1 	3.7 	4.1 	4.0 	4.2 
PC,Y_GE15,F,CH05	4.2 	3.6 	3.6 	3.9 	4.0 b	4.5 	3.7 	4.4 	4.1 	4.4 	4.2 	3.5 
PC,Y_GE15,F,CH06	3.5 u	3.3 u	3.0 u	3.5 u	3.5 b	2.6 	3.2 	3.4 	4.3 	3.7 	3.3 	3.9 
PC,Y_GE15,F,CH07	6.2 u	5.3 u	5.8 u	5.4 u	6.0 bu	6.5 u	8.2 	8.4 	8.0 	7.5 	7.3 	6.8 
PC,Y_GE15,F,CY00	5.4 	4.6 	4.2 	5.5 b	6.4 	7.6 	11.1 	15.2 	15.1 	14.8 	13.3 	11.3 
PC,Y_GE15,F,CZ01	2.7 	2.8 	2.3 	3.2 	4.1 	3.8 b	3.4 	3.1 	2.7 	3.3 	2.0 	2.1 
PC,Y_GE15,F,CZ02	6.0 	4.0 	3.0 	5.2 	6.3 	6.0 b	5.7 	6.0 	6.1 	4.2 	4.0 	2.7 
PC,Y_GE15,F,CZ03	6.2 	4.9 	4.3 	6.1 	6.6 	6.4 b	6.6 	6.8 	7.4 	5.0 	3.9 	2.6 
PC,Y_GE15,F,CZ04	15.7 	11.4 	8.8 	12.5 	13.5 	10.6 b	12.9 	11.6 	10.4 	8.8 	5.6 	4.3 
PC,Y_GE15,F,CZ05	7.7 	6.3 	5.4 	8.8 	8.7 	7.9 b	9.2 	10.2 	8.1 	6.3 	4.6 	3.7 
PC,Y_GE15,F,CZ06	8.8 	6.6 	5.4 	7.5 	8.1 	8.8 b	8.9 	8.2 	6.9 	5.9 	4.6 	4.2 
PC,Y_GE15,F,CZ07	10.3 	7.5 	6.1 	8.8 	10.6 	9.0 b	9.0 	8.8 	8.4 	6.7 	4.1 	3.4 
PC,Y_GE15,F,CZ08	14.3 	11.3 	10.3 	10.9 	10.9 	11.2 b	10.8 	12.1 	10.2 	9.3 	8.8 	5.7 
PC,Y_GE15,F,DE11	6.8 	5.3 	5.0 	5.6 	5.2 b	3.8 b	3.7 	3.7 	2.9 	3.3 	3.1 	2.9 
PC,Y_GE15,F,DE12	7.3 	6.2 	5.2 	5.3 	5.2 b	4.2 b	3.8 	3.4 	3.1 	3.2 	3.3 	3.3 
PC,Y_GE15,F,DE13	5.8 	5.0 	4.4 	4.2 	4.0 b	2.9 b	2.7 	2.9 	3.0 	2.2 	3.0 	2.7 
PC,Y_GE15,F,DE14	6.5 	5.2 	4.6 	5.1 	4.3 b	3.4 b	3.0 	3.2 	2.5 	2.8 	2.5 	2.0 
PC,Y_GE15,F,DE21	5.4 	4.7 	3.5 	4.0 	3.3 b	2.9 b	2.8 	2.5 	2.4 	2.4 	2.4 	2.0 
PC,Y_GE15,F,DE22	7.5 	5.6 	5.3 	5.1 	3.7 b	3.1 b	3.3 	3.5 	3.0 	2.6 	1.8 	1.7 
PC,Y_GE15,F,DE23	7.2 	5.9 	4.3 	5.1 	4.1 b	3.0 b	3.4 	3.7 	2.3 	2.7 	2.9 	2.0 
PC,Y_GE15,F,DE24	9.8 	8.2 	6.9 	6.8 	6.3 b	4.1 b	2.8 	3.6 	3.9 	3.7 	2.9 	2.8 
PC,Y_GE15,F,DE25	8.2 	7.1 	5.5 	6.7 	5.4 b	4.0 b	3.8 	3.1 	3.3 	3.1 	2.2 	2.2 
PC,Y_GE15,F,DE26	7.1 	6.8 	5.2 	6.0 	5.2 b	3.9 b	4.1 	3.5 	3.5 	3.1 	2.4 	2.1 
PC,Y_GE15,F,DE27	7.0 	5.7 	4.9 	4.7 	4.8 b	4.0 b	3.7 	3.6 	3.3 	3.2 	3.0 	3.2 
PC,Y_GE15,F,DE30	16.9 	14.3 	13.5 	11.6 	11.3 b	10.5 b	9.2 	9.1 	8.5 	8.1 	7.0 	6.4 
PC,Y_GE15,F,DE40	16.1 	14.0 	11.3 	10.3 	9.1 b	8.0 b	8.0 	6.6 	6.6 	5.5 	3.6 	3.6 
PC,Y_GE15,F,DE50	12.7 	9.3 	7.6 	7.0 	5.9 b	6.5 b	5.6 	6.9 	5.7 	4.9 	4.6 	3.3 
PC,Y_GE15,F,DE60	9.3 	8.5 	6.5 	5.8 	6.4 b	5.0 b	4.8 	4.0 	4.7 	3.9 	3.6 	3.8 
PC,Y_GE15,F,DE71	7.9 	7.0 	6.3 	6.1 	5.4 b	4.6 b	4.5 	3.7 	4.2 	4.0 	3.7 	2.8 
PC,Y_GE15,F,DE72	8.4 	7.4 	6.6 	6.5 	5.9 b	5.5 b	5.3 	4.6 	4.2 	3.4 	3.9 	2.9 
PC,Y_GE15,F,DE73	8.4 	8.1 	7.5 	6.3 	6.3 b	4.7 b	3.7 	4.2 	4.3 	2.7 	3.7 	2.3 
PC,Y_GE15,F,DE80	18.7 	17.6 	14.6 	13.0 	10.7 b	9.8 b	10.2 	8.9 	8.6 	7.5 	5.8 	4.7 
PC,Y_GE15,F,DE91	10.3 	9.0 	8.9 	8.1 	6.9 b	6.3 b	4.8 	5.1 	4.7 	4.1 	4.0 	3.7 
PC,Y_GE15,F,DE92	9.9 	8.0 	6.8 	7.0 	6.2 b	6.2 b	5.1 	5.3 	4.7 	4.2 	3.6 	4.0 
PC,Y_GE15,F,DE93	8.9 	7.8 	6.3 	5.4 	5.9 b	5.7 b	4.6 	3.9 	3.6 	3.1 	3.2 	3.0 
PC,Y_GE15,F,DE94	9.5 	7.4 	6.6 	5.8 	5.0 b	4.2 b	3.9 	3.8 	3.6 	4.1 	3.0 	2.6 
PC,Y_GE15,F,DEA1	8.8 	7.8 	7.1 	6.8 	6.5 b	5.7 b	5.7 	5.3 	5.7 	5.1 	3.9 	3.4 
