"sex","nuts","year","unempl_pct"
"F","AT11",2006,6.4
"F","AT12",2006,4.9
"F","AT13",2006,8.8
"F","AT21",2006,5.8
"F","AT22",2006,5.1
"F","AT31",2006,4.1
"F","AT32",2006,4
"F","AT33",2006,3.7
"F","AT34",2006,6.3
"F","BE10",2006,18.2
"F","BE21",2006,6.2
"F","BE22",2006,8.7
"F","BE23",2006,5.1
"F","BE24",2006,4.9
"F","BE25",2006,4.8
"F","BE31",2006,8.7
"F","BE32",2006,16.6
"F","BE33",2006,13.4
"F","BE34",2006,9.4
"F","BE35",2006,11.5
"F","BG31",2006,11.5
"F","BG32",2006,14.2
"F","BG33",2006,12.5
"F","BG34",2006,8.7
"F","BG41",2006,6.1
"F","BG42",2006,8.5
"F","CH01",2006,6.1
"F","CH02",2006,4.5
"F","CH03",2006,4.7
"F","CH04",2006,4.3
"F","CH05",2006,4.2
"F","CH06",2006,3.5
"F","CH07",2006,6.2
"F","CY00",2006,5.4
"F","CZ01",2006,2.7
"F","CZ02",2006,6
"F","CZ03",2006,6.2
"F","CZ04",2006,15.7
"F","CZ05",2006,7.7
"F","CZ06",2006,8.8
"F","CZ07",2006,10.3
"F","CZ08",2006,14.3
"F","DE11",2006,6.8
"F","DE12",2006,7.3
"F","DE13",2006,5.8
"F","DE14",2006,6.5
"F","DE21",2006,5.4
"F","DE22",2006,7.5
"F","DE23",2006,7.2
"F","DE24",2006,9.8
"F","DE25",2006,8.2
"F","DE26",2006,7.1
"F","DE27",2006,7
"F","DE30",2006,16.9
"F","DE40",2006,16.1
"F","DE50",2006,12.7
"F","DE60",2006,9.3
"F","DE71",2006,7.9
"F","DE72",2006,8.4
"F","DE73",2006,8.4
"F","DE80",2006,18.7
"F","DE91",2006,10.3
"F","DE92",2006,9.9
"F","DE93",2006,8.9
"F","DE94",2006,9.5
"F","DEA1",2006,8.8
"F","DEA2",2006,8.8
"F","DEA3",2006,8.7
"F","DEA4",2006,9.4
"F","DEA5",2006,10.9
"F","DEB1",2006,7.8
"F","DEB2",2006,6.8
"F","DEB3",2006,8.5
"F","DEC0",2006,8.9
"F","DED2",2006,16.6
"F","DED4",2006,18.1
"F","DED5",2006,15.5
"F","DEE0",2006,18
"F","DEF0",2006,8.9
"F","DEG0",2006,16.4
"F","DK01",2006,NA
"F","DK02",2006,NA
"F","DK03",2006,NA
"F","DK04",2006,NA
"F","DK05",2006,NA
"F","EE00",2006,5.6
"F","EL30",2006,11.8
"F","EL41",2006,16.6
"F","EL42",2006,15.4
"F","EL43",2006,11.4
"F","EL51",2006,16.3
"F","EL52",2006,14.8
"F","EL53",2006,20.3
"F","EL54",2006,15.9
"F","EL61",2006,14
"F","EL62",2006,18.2
"F","EL63",2006,16.4
"F","EL64",2006,16.6
"F","EL65",2006,12.2
"F","ES11",2006,11.3
"F","ES12",2006,12.3
"F","ES13",2006,9.4
"F","ES21",2006,9
"F","ES22",2006,7
"F","ES23",2006,7.6
"F","ES24",2006,7.9
"F","ES30",2006,8.3
"F","ES41",2006,12.3
"F","ES42",2006,14.7
"F","ES43",2006,18.6
"F","ES51",2006,8.1
"F","ES52",2006,11
"F","ES53",2006,8.1
"F","ES61",2006,17.7
"F","ES62",2006,10.8
"F","ES63",2006,29.5
"F","ES64",2006,22
"F","ES70",2006,14.6
"F","FI19",2006,8.9
"F","FI1B",2006,5.3
"F","FI1C",2006,8.2
"F","FI1D",2006,11.1
"F","FI20",2006,NA
"F","FR10",2006,8.6
"F","FRB0",2006,6.5
"F","FRC1",2006,10.5
"F","FRC2",2006,8.8
"F","FRD1",2006,7.9
"F","FRD2",2006,9.1
"F","FRE1",2006,12.6
"F","FRE2",2006,11.5
"F","FRF1",2006,6.7
"F","FRF2",2006,7.9
"F","FRF3",2006,9.2
"F","FRG0",2006,7.8
