unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PC_POP,AT	16.7 	20.6 b	19.1 	18.9 	19.2 	18.5 	18.8 	19.2 	18.3 	18.0 	18.1 	: 
PC_POP,AT11	: 	: 	: 	: 	: 	: 	: 	11.9 e	14.2 e	15.1 e	: 	: 
PC_POP,AT12	: 	: 	: 	: 	: 	: 	: 	14.9 e	13.6 e	13.0 e	: 	: 
PC_POP,AT13	: 	: 	: 	: 	: 	: 	: 	28.4 e	27.3 e	26.0 e	: 	: 
PC_POP,AT21	: 	: 	: 	: 	: 	: 	: 	18.7 e	16.6 e	16.3 e	: 	: 
PC_POP,AT22	: 	: 	: 	: 	: 	: 	: 	16.3 e	17.1 e	18.4 e	: 	: 
PC_POP,AT31	: 	: 	: 	: 	: 	: 	: 	15.2 e	15.5 e	14.3 e	: 	: 
PC_POP,AT32	: 	: 	: 	: 	: 	: 	: 	16.0 e	15.6 e	15.5 e	: 	: 
PC_POP,AT33	: 	: 	: 	: 	: 	: 	: 	18.4 e	19.2 e	19.2 e	: 	: 
PC_POP,AT34	: 	: 	: 	: 	: 	: 	: 	21.9 e	22.6 e	23.2 e	: 	: 
PC_POP,BE	21.6 	20.8 	20.2 	20.8 	21.0 	21.6 	20.8 	21.2 	21.1 	20.7 	20.3 	: 
PC_POP,BG	60.7 	44.8 	46.2 	49.2 	49.1 	49.3 	48.0 	40.1 b	41.3 	40.4 b	38.9 	: 
PC_POP,BG3	: 	51.3 	50.3 	53.8 	54.5 	53.7 	51.8 	44.0 b	45.1 	44.1 b	42.6 	: 
PC_POP,BG31	: 	52.5 	53.0 	53.3 	53.9 	52.6 	52.8 	46.1 b	44.8 	46.0 b	46.7 	: 
PC_POP,BG32	: 	54.5 	56.3 	58.7 	59.5 	53.9 	48.4 	43.7 b	44.9 	44.3 b	41.6 	: 
PC_POP,BG33	: 	48.3 	45.0 	52.7 	52.1 	51.0 	54.7 	45.6 b	48.3 	44.1 b	42.7 	: 
PC_POP,BG34	: 	50.1 	47.8 	51.1 	53.2 	56.7 	51.1 	41.2 b	42.5 	42.4 b	40.1 	: 
PC_POP,BG4	: 	37.7 	41.7 	44.2 	43.3 	44.6 	44.1 	36.1 b	37.5 	36.6 b	35.1 	: 
PC_POP,BG41	: 	33.8 	33.8 	36.9 	37.4 	39.1 	37.1 	28.6 b	30.0 	30.1 b	29.3 	: 
PC_POP,BG42	: 	43.1 	52.5 	54.3 	51.6 	52.6 	54.2 	46.9 b	48.6 	46.2 b	43.8 	: 
PC_POP,CH	17.9 	18.1 	17.9 	17.2 	17.2 	17.5 	16.3 	16.4 b	18.2 	17.8 	: 	: 
PC_POP,CH01	: 	19.5 	17.8 	20.0 	21.5 	18.3 	15.6 	16.7 b	18.1 	20.4 	: 	: 
PC_POP,CH02	: 	22.6 	21.8 	21.3 	20.3 	21.3 	19.7 	19.7 b	19.3 	20.6 	: 	: 
PC_POP,CH03	: 	15.2 	17.3 	11.9 	14.4 	14.6 	13.2 	16.2 b	15.2 	15.4 	: 	: 
PC_POP,CH04	: 	13.4 	14.6 	12.2 	13.0 	11.9 	12.1 	11.1 b	14.4 	13.5 	: 	: 
PC_POP,CH05	: 	17.1 	17.0 	16.1 	15.9 	18.0 	17.9 	16.4 b	18.5 	16.1 	: 	: 
PC_POP,CH06	: 	15.8 	14.3 	15.7 	12.3 	14.4 	13.7 	12.9 b	19.3 	13.3 	: 	: 
PC_POP,CH07	: 	25.1 	24.6 	26.8 	22.7 	32.9 	30.2 	28.5 b	34.3 	33.3 	: 	: 
PC_POP,CY	25.2 	23.3 b	23.5 	24.6 	24.6 	27.1 	27.8 	27.4 	28.9 	27.7 	25.2 	: 
PC_POP,CZ	15.8 	15.3 	14.0 	14.4 	15.3 	15.4 	14.6 	14.8 	14.0 	13.3 	12.2 	: 
PC_POP,CZ01	8.8 	9.9 	10.0 	7.1 	9.1 	12.5 	10.2 	10.2 	10.6 	10.1 	9.4 	: 
PC_POP,CZ02	14.2 	12.8 	11.1 	12.4 	9.6 	12.3 	9.9 	9.8 	10.0 	10.3 	10.4 	: 
PC_POP,CZ03	11.8 	11.5 	12.6 	13.6 	14.6 	12.4 	11.5 	12.5 	11.2 	10.0 	9.7 	: 
PC_POP,CZ04	23.4 	22.9 	19.6 	21.3 	24.6 	23.7 	25.8 	21.9 	21.7 	19.5 	16.7 	: 
PC_POP,CZ05	15.8 	13.5 	12.2 	11.4 	13.8 	13.2 	13.8 	14.0 	10.2 	11.7 	9.9 	: 
PC_POP,CZ06	13.0 	13.8 	12.9 	15.0 	14.2 	13.7 	11.1 	12.8 	12.6 	11.5 	11.7 	: 
PC_POP,CZ07	17.5 	17.6 	16.1 	16.3 	16.4 	16.0 	14.7 	17.0 	16.4 	13.1 	12.3 	: 
PC_POP,CZ08	23.2 	21.6 	18.6 	18.9 	22.0 	20.9 	22.9 	22.5 	21.7 	22.1 	19.2 	: 
PC_POP,DE	20.6 	20.1 	20.0 	19.7 	19.9 	19.6 	20.3 	20.6 	20.0 	19.7 	19.0 	: 
PC_POP,DE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 e	13.4 e	: 
PC_POP,DE12	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.2 e	15.8 e	: 
PC_POP,DE13	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.3 e	14.3 e	: 
PC_POP,DE14	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.7 e	13.9 e	: 
