"nuts","year","risk_pct"
"AT",2007,16.7
"AT11",2007,NA
"AT12",2007,NA
"AT13",2007,NA
"AT21",2007,NA
"AT22",2007,NA
"AT31",2007,NA
"AT32",2007,NA
"AT33",2007,NA
"AT34",2007,NA
"BE",2007,21.6
"BG",2007,60.7
"BG3",2007,NA
"BG31",2007,NA
"BG32",2007,NA
"BG33",2007,NA
"BG34",2007,NA
"BG4",2007,NA
"BG41",2007,NA
"BG42",2007,NA
"CH",2007,17.9
"CH01",2007,NA
"CH02",2007,NA
"CH03",2007,NA
"CH04",2007,NA
"CH05",2007,NA
"CH06",2007,NA
"CH07",2007,NA
"CY",2007,25.2
"CZ",2007,15.8
"CZ01",2007,8.8
"CZ02",2007,14.2
"CZ03",2007,11.8
"CZ04",2007,23.4
"CZ05",2007,15.8
"CZ06",2007,13
"CZ07",2007,17.5
"CZ08",2007,23.2
"DE",2007,20.6
"DE11",2007,NA
"DE12",2007,NA
"DE13",2007,NA
"DE14",2007,NA
"DE21",2007,NA
"DE22",2007,NA
"DE23",2007,NA
"DE24",2007,NA
"DE25",2007,NA
"DE26",2007,NA
"DE27",2007,NA
"DE30",2007,NA
"DE40",2007,NA
"DE50",2007,NA
"DE60",2007,NA
"DE71",2007,NA
"DE72",2007,NA
"DE73",2007,NA
"DE80",2007,NA
"DE91",2007,NA
"DE92",2007,NA
"DE93",2007,NA
"DE94",2007,NA
"DEA1",2007,NA
"DEA2",2007,NA
"DEA3",2007,NA
"DEA4",2007,NA
"DEA5",2007,NA
"DEB1",2007,NA
"DEB2",2007,NA
"DEB3",2007,NA
"DEC0",2007,NA
"DED2",2007,NA
"DED4",2007,NA
"DED5",2007,NA
"DEE0",2007,NA
"DEF0",2007,NA
"DEG0",2007,NA
"DK",2007,16.8
"DK01",2007,19
"DK02",2007,13.8
"DK03",2007,16.2
"DK04",2007,15.3
"DK05",2007,19.7
"EE",2007,22
"EL",2007,28.3
"EL3",2007,22.7
"EL4",2007,27.5
"EL5",2007,33.5
"EL6",2007,31.7
"ES",2007,23.3
"ES1",2007,21.1
"ES11",2007,23.1
"ES12",2007,18.6
"ES13",2007,16.2
"ES2",2007,16.2
"ES21",2007,15.9
"ES22",2007,8.5
"ES23",2007,22.2
"ES24",2007,19
"ES3",2007,16
"ES30",2007,16
"ES4",2007,31
"ES41",2007,25.9
"ES42",2007,30.8
"ES43",2007,43.4
"ES5",2007,18.5
"ES51",2007,16.9
"ES52",2007,20.5
"ES53",2007,21.1
"ES6",2007,32.8
"ES61",2007,33.1
"ES62",2007,31
"ES63",2007,40.7
"ES64",2007,29.4
"ES7",2007,29.3
"ES70",2007,29.3
"FI",2007,17.4
"FI1",2007,17.5
"FI13",2007,23.7
"FI18",2007,15.3
"FI19_20",2007,17.5
"FI1A",2007,19.5
"FI1B",2007,NA
"FI1C",2007,NA
"FI1D",2007,NA
"FI2",2007,5.6
"FR",2007,19
"HR",2007,NA
"HR03",2007,NA
"HR04",2007,NA
"HU",2007,29.4
"HU1",2007,23.2
"HU10",2007,23.2
"HU11",2007,NA
"HU12",2007,NA
"HU2",2007,27.1
"HU21",2007,27.6
"HU22",2007,19.4
"HU23",2007,34.4
"HU3",2007,35.5
"HU31",2007,43.4
"HU32",2007,33.8
"HU33",2007,29.9
"IE",2007,23.1
"IE01",2007,30.6
"IE02",2007,20.3
"IS",2007,13
"IT",2007,26
"ITC",2007,16.9
"ITC1",2007,17.9
"ITC2",2007,11.7
"ITC3",2007,21.3
"ITC4",2007,15.8
"ITF",2007,41.4
"ITF1",2007,25.5
"ITF2",2007,33
"ITF3",2007,45.5
"ITF4",2007,40.6
"ITF5",2007,37.3
"ITF6",2007,44.1
"ITG",2007,45.5
"ITG1",2007,50.5
"ITG2",2007,30.3
"ITH",2007,14.6
"ITH1",2007,12.3
"ITH2",2007,7.5
"ITH3",2007,16.3
"ITH4",2007,16.6
"ITH5",2007,13.3
"ITI",2007,18.8
"ITI1",2007,14.5
"ITI2",2007,18
"ITI3",2007,16.7
"ITI4",2007,22.5
"LT",2007,28.7
"LU",2007,15.9
"LV",2007,35.1
"MK",2007,NA
"MT",2007,19.7
"NL",2007,15.7
"NL1",2007,NA
"NL11",2007,NA
"NL12",2007,NA
"NL13",2007,NA
