institution,institution_short,countrycode,city,type,institute_lon,institute_lat,city_lon,city_lat
Otto Friedrich University Bamberg,OFU Bamberg,DE,Bamberg,Universities,10.886138,49.8938345,10.9027636,49.8988135
University of Erfurt,Uni Erfurt,DE,Erfurt,Universities,11.009202,50.991332,11.02988,50.9847679
Helmut Schmidt University/ Universität der Bundeswehr,H. Schmidt Univ.,DE,Hamburg,Universities,10.1102543,53.5685678,9.9936819,53.5510846
University of Hildesheim,Uni Hildesheim,DE,Hildesheim,Universities,9.9755126,52.1334254,9.9579652,52.154778
University of Potsdam,Uni Potsdam,DE,Potsdam,Universities,13.0119098,52.4010314,13.061389,52.395833
German Institute for Economic Research (DIW),DIW,DE,Berlin,Universities,13.3886677,52.5121577,13.404954,52.5200066
European School of Management and Technology Berlin (ESMT),ESMT,DE,Berlin,Universities,13.4014644,52.5157068,13.404954,52.5200066
Hertie School of Governance,Hertie School,DE,Berlin,Universities,13.3892236,52.5127908,13.404954,52.5200066
Humboldt Viadrina School of Governance,Viadrina,DE,Berlin,Universities,13.37854,52.51701,13.404954,52.5200066
Berlin-Brandenburg Academy of Sciences,BBAW,DE,Berlin,Universities,13.3942386,52.51398,13.404954,52.5200066
FU Berlin,FU Berlin,DE,Berlin,Joint appointments,13.2896787,52.4525264,13.404954,52.5200066
HU Berlin,HU Berlin,DE,Berlin,Joint appointments,13.3936551,52.517883,13.404954,52.5200066
TU Berlin,TU Berlin,DE,Berlin,Joint appointments,13.3269446,52.5125322,13.404954,52.5200066
University College London,Univ. College,UK,London,Joint appointments,-0.1340401,51.5245592,-0.1277583,51.5073509
Columbia University,Columbia Univ.,US,New York,Joint appointments,-73.9625727,40.8075355,-74.0059728,40.7127753
CIDER,CIDER,DE,Berlin,Graduate Research schools,13.404954,52.5200066,13.404954,52.5200066
Leibniz Institute for Science and Mathematics Education (IPN),IPN,DE,Kiel,Graduate Research schools,10.1179905,54.3403706,10.1227651,54.3232927
Leibniz Institute for Social Sciences (GESIS),GESIS,DE,Mannheim,Graduate Research schools,8.4628438,49.4856899,8.4660395,49.4874592
Leibniz Institute for Educational Trajectories (LifBi),LifBi,DE,Bamberg,Graduate Research schools,10.898067,49.891405,10.9027636,49.8988135
Centre for European Economic Research (ZEW),ZEW,DE,Mannheim,Graduate Research schools,8.466178,49.481787,8.4660395,49.4874592
Berlin Economics Research Associates (BERA),BERA,DE,Berlin,Graduate Research schools,13.3886677,52.5121577,13.404954,52.5200066
Hans Boeckler Foundation,Hans Böckler Stift.,DE,Düsseldorf,Graduate Research schools,6.7732301,51.24696,6.7734556,51.2277411
Federal Institute for Occupational Safety and Health,BAUA,DE,Dortmund,Graduate Research schools,7.4172529,51.4981037,7.4652981,51.5135872
Federal Institute for Material Research and Testing (BAM),BAM,DE,Berlin,Collaborative Research Centers,13.538907,52.4272806,13.404954,52.5200066
Zuse Institut Berlin,Zuse Inst. Berlin,DE,Berlin,Collaborative Research Centers,13.2981776,52.4561009,13.404954,52.5200066
